date,open,high,low,close
15-01-2024 09:34,365.9,366,365.55,366
15-01-2024 09:35,366,366.5,366,366.15
15-01-2024 09:36,366.15,366.65,365.95,366
15-01-2024 09:37,366,366.45,366,366
15-01-2024 09:38,366,366.7,366,366.5
15-01-2024 09:39,366.2,366.45,366,366.35
15-01-2024 09:40,366.35,366.4,366,366.4
15-01-2024 09:41,366.4,366.4,366,366.3
15-01-2024 09:42,366.3,366.3,366,366
15-01-2024 09:43,366.35,366.45,366.05,366.1
15-01-2024 09:44,366.45,366.45,366,366.2
15-01-2024 09:45,366.2,366.2,366,366.2
15-01-2024 09:46,366.2,366.3,366,366
15-01-2024 09:47,366,366,365.35,366
15-01-2024 09:48,366,366,365.6,365.6
15-01-2024 09:49,365.6,365.6,364.95,365.2
15-01-2024 09:50,365.1,365.2,363.75,363.95
15-01-2024 09:51,364,364,363.65,363.65
15-01-2024 09:52,363.6,364.8,363,364.65
15-01-2024 09:53,364.65,365.7,364.5,365.7
15-01-2024 09:54,365.7,365.75,365.3,365.35
15-01-2024 09:55,365.25,365.95,365.2,365.95
15-01-2024 09:56,365.95,366.4,365.95,366.05
15-01-2024 09:57,366.3,366.3,365.35,365.5
15-01-2024 09:58,365.5,365.5,365,365.05
15-01-2024 09:59,365.05,365.4,363.05,363.4
15-01-2024 10:00,363.05,363.05,362.05,362.1
15-01-2024 10:01,362.25,362.95,361.6,362.6
15-01-2024 10:02,362.95,364.35,362.9,364.15
15-01-2024 10:03,364.15,364.15,363.55,364.05
15-01-2024 10:04,364.05,364.2,363.7,363.75
15-01-2024 10:05,363.75,363.95,363.15,363.95
15-01-2024 10:06,363.6,364.2,363.6,364.05
15-01-2024 10:07,364.1,364.45,364.1,364.45
15-01-2024 10:08,364.25,364.5,364.25,364.45
15-01-2024 10:09,364.45,364.85,364.15,364.15
15-01-2024 10:10,364.65,365.45,364.5,365.05
15-01-2024 10:11,364.95,365.25,364.95,365.25
15-01-2024 10:12,365.25,365.9,365.25,365.5
15-01-2024 10:13,365.5,365.85,365.1,365.55
15-01-2024 10:14,365.55,365.8,365.5,365.8
15-01-2024 10:15,365.8,365.85,365.6,365.6
15-01-2024 10:16,365.6,365.85,365.6,365.85
15-01-2024 10:17,365.85,365.85,365.85,365.85
15-01-2024 10:18,365.85,365.85,365.3,365.7
15-01-2024 10:19,365.7,365.85,365.7,365.7
15-01-2024 10:20,365.7,366.05,365.7,366
15-01-2024 10:21,366,366.3,366,366
15-01-2024 10:22,365.85,366.2,365.85,366
15-01-2024 10:23,366.35,366.35,366,366
15-01-2024 10:24,366,366,366,366
15-01-2024 10:25,366,366,365.65,366
15-01-2024 10:26,366,366.25,365.8,366.25
15-01-2024 10:27,366.25,366.35,366.25,366.25
15-01-2024 10:28,366.25,366.25,365.9,366
15-01-2024 10:29,366,366,366,366
15-01-2024 10:30,366,366.3,365.9,365.9
15-01-2024 10:31,365.9,366,365.9,366
15-01-2024 10:32,366,366.35,366,366
15-01-2024 10:33,366,366.25,366,366.1
15-01-2024 10:34,366.1,366.1,365.6,365.6
